gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
M;25;Milan;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;477.28;453.40;484.31;498.31;;;;;;;;207.47;;772.00;
F;25;Milan;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;477.28;453.40;484.31;498.31;;;;;;;;207.47;;772.00;
M;32;Milan;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;388.93;369.48;398.89;416.88;;;;;;;;185.26;;706.00;
F;32;Milan;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;382.67;363.53;392.76;411.05;;;;;;;;185.26;;706.00;
M;25;Naples;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;711.50;675.92;634.68;652.25;;;;;;;;220.11;;831.00;
F;25;Naples;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;711.50;675.92;634.68;652.25;;;;;;;;220.11;;831.00;
M;32;Naples;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;583.57;554.39;572.61;590.52;;;;;;;;192.09;;757.00;
F;32;Naples;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;583.57;554.39;572.61;590.52;;;;;;;;192.09;;757.00;
M;25;Morocco;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;718.38;682.46;639.35;655.43;;;;;;;;251.32;;773.00;
F;25;Morocco;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;718.38;682.46;639.35;655.43;;;;;;;;251.32;;773.00;
M;32;Morocco;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;654.95;622.21;604.67;625.91;;;;;;;;237.42;;711.00;
F;32;Morocco;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;654.95;622.21;604.67;625.91;;;;;;;;237.42;;711.00;
M;25;China;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;643.75;611.56;598.83;621.69;;;;;;;;251.32;;773.00;
F;25;China;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;643.75;611.56;598.83;621.69;;;;;;;;251.32;;773.00;
M;32;China;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;561.14;533.09;559.16;572.54;;;;;;;;237.42;;711.00;
F;32;China;Widow;Without a qualification;Employee;NSEP;10000;Milan;1;561.14;533.09;559.16;572.54;;;;;;;;237.42;;711.00;
M;25;Milan;Married;Master;Looking for a job;NSEP;30000;Milan;1;553.22;525.57;552.53;566.14;;;;;;;;207.47;;706.00;
F;25;Milan;Married;Master;Looking for a job;NSEP;30000;Milan;1;553.22;525.57;552.53;566.14;;;;;;;;207.47;;706.00;
M;32;Milan;Married;Master;Looking for a job;NSEP;30000;Milan;1;426.88;405.54;435.76;452.11;;;;;;;;185.26;;646.00;
F;32;Milan;Married;Master;Looking for a job;NSEP;30000;Milan;1;420.51;399.48;429.62;446.20;;;;;;;;185.26;;646.00;
M;25;Naples;Married;Master;Looking for a job;NSEP;30000;Milan;1;769.46;730.98;673.25;684.88;;;;;;;;220.11;;770.00;
